location_name,iso3,year,domain,adverse_z,peer_reference,indicator_group,profile_2023,marked_adverse_z_gt_0_5
Tonga,TON,2023,WASH,-0.620400510221756,same-year SDI-quintile peers,WASH,Double-high,False
Tonga,TON,2023,Immunisation/UHC,-0.9472937812142432,same-year SDI-quintile peers,Immunisation/UHC,Double-high,False
Tonga,TON,2023,HIV/TB,-0.756088512518604,same-year SDI-quintile peers,HIV/TB,Double-high,False
Tonga,TON,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Double-high,False
Tonga,TON,2023,Health resources,-0.0634798535573449,same-year SDI-quintile peers,Health resources,Double-high,False
Vanuatu,VUT,2023,Household energy/HAP,-0.0057693888737732,same-year SDI-quintile peers,Household energy/HAP,Structural high,False
Vanuatu,VUT,2023,Ambient PM2.5,-1.5338516712375818,same-year SDI-quintile peers,Ambient PM2.5,Structural high,False
Vanuatu,VUT,2023,Climate/transmission,0.7839987052577234,same-year SDI-quintile peers,Climate/transmission,Structural high,True
Vanuatu,VUT,2023,WASH,-0.5896975659062025,same-year SDI-quintile peers,WASH,Structural high,False
Vanuatu,VUT,2023,Immunisation/UHC,0.1116805494575975,same-year SDI-quintile peers,Immunisation/UHC,Structural high,False
Vanuatu,VUT,2023,HIV/TB,-0.8144974719522862,same-year SDI-quintile peers,HIV/TB,Structural high,False
Vanuatu,VUT,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Structural high,False
Vanuatu,VUT,2023,Health resources,-1.6031430451834685,same-year SDI-quintile peers,Health resources,Structural high,False
Armenia,ARM,2023,Household energy/HAP,-0.2085349485328547,same-year SDI-quintile peers,Household energy/HAP,Neither,False
Armenia,ARM,2023,Ambient PM2.5,1.0631292809940875,same-year SDI-quintile peers,Ambient PM2.5,Neither,True
Armenia,ARM,2023,Climate/transmission,-1.7037098489987077,same-year SDI-quintile peers,Climate/transmission,Neither,False
Armenia,ARM,2023,WASH,-0.7002220800606016,same-year SDI-quintile peers,WASH,Neither,False
Armenia,ARM,2023,Immunisation/UHC,-0.2358796401994824,same-year SDI-quintile peers,Immunisation/UHC,Neither,False
Armenia,ARM,2023,HIV/TB,-0.4318791995962517,same-year SDI-quintile peers,HIV/TB,Neither,False
Armenia,ARM,2023,Nutrition,,same-year SDI-quintile peers,Nutrition,Neither,False
Armenia,ARM,2023,Health resources,-0.5077070925020785,same-year SDI-quintile peers,Health resources,Neither,False
Azerbaijan,AZE,2023,Household energy/HAP,-0.6446565040113452,same-year SDI-quintile peers,Household energy/HAP,Excess-only,False
Azerbaijan,AZE,2023,Ambient PM2.5,0.4750203364461681,same-year SDI-quintile peers,Ambient PM2.5,Excess-only,False
Azerbaijan,AZE,2023,Climate/transmission,-0.8299837607610012,same-year SDI-quintile peers,Climate/transmission,Excess-only,False
Azerbaijan,AZE,2023,WASH,-0.5288682081878238,same-year SDI-quintile peers,WASH,Excess-only,False
Azerbaijan,AZE,2023,Immunisation/UHC,1.7843057029578795,same-year SDI-quintile peers,Immunisation/UHC,Excess-only,True
