Location,ISO3,Profile 2000,Profile 2023,Transition pathway,Delta adverse z: Household energy/HAP,Delta adverse z: Ambient PM2.5,Delta adverse z: Climate/transmission,Delta adverse z: WASH,Delta adverse z: Immunisation/UHC,Delta adverse z: HIV/TB,Delta adverse z: Nutrition,Delta adverse z: Health resources,Dominant contextual lag domain,Dominant delta adverse z,Number of positive lag domains
Botswana,BWA,Neither,Excess-only,Neither -> Excess-only,0.4391253923595791,-0.034974610787674165,-0.3718963404308676,0.29841013425537133,-0.7437948629168817,-2.339059730312811,,0.4223874572501998,Household energy/HAP,0.4391253923595791,3
Brazil,BRA,Double-high,Excess-only,Double-high -> Excess-only,0.428910233412071,-0.823684759071032,-0.17501506426127728,-0.39698140453886466,0.7944269162170954,0.12367009712470761,,-0.40933479745805523,Immunisation/UHC,0.7944269162170954,3
Bulgaria,BGR,Excess-only,Excess-only,Excess-only -> Excess-only,-0.9567713640512236,-0.1999655140528369,0.1574653696791487,1.4649468875488214,-0.3863442163787423,-0.0884863462509145,,0.8666166606823978,WASH,1.4649468875488214,3
China,CHN,Double-high,Excess-only,Double-high -> Excess-only,-0.913431674706863,-0.7986789879397361,0.16237500762640822,-0.6273659266914745,1.5530569965119265,1.4410436973041858,,0.09319275975426855,Immunisation/UHC,1.5530569965119265,4
Cook Islands,COK,Excess-only,Excess-only,Excess-only -> Excess-only,-1.3582662111857091,0.4194118964313105,0.06358367113202479,,-0.5107206023861243,,,,Ambient PM2.5,0.4194118964313105,2
Croatia,HRV,Neither,Excess-only,Neither -> Excess-only,-1.0499023488108459,-0.5914677795309414,0.2167425346305139,0.38171170709000446,-0.5679544868390796,-0.1492489220511286,,0.04102405650399338,WASH,0.38171170709000446,3
Czechia,CZE,Neither,Excess-only,Neither -> Excess-only,-0.2719285561479628,-0.29375132123634906,-0.1379923731391055,-0.7462915819651332,0.205861300122272,-0.26663578405428373,,0.0870786584646399,Immunisation/UHC,0.205861300122272,2
Dominica,DMA,Neither,Excess-only,Neither -> Excess-only,1.191130830238053,0.33593772471009353,0.25209727273005833,-0.6046629511232556,2.5323087867834313,-0.08388633982610562,,0.8477540387485737,Immunisation/UHC,2.5323087867834313,5
Estonia,EST,Neither,Excess-only,Neither -> Excess-only,-1.98100193518752,-0.4454711118126876,-0.2552937601062276,-1.2007988748010259,-0.3901046016748708,0.12411608496742149,,-0.2063971644181154,HIV/TB,0.12411608496742149,1
Georgia,GEO,Neither,Excess-only,Neither -> Excess-only,-1.9718640692520222,0.2750801741706388,0.2800942479020391,0.14537288305031992,-0.8418332516588367,0.1531156866351916,,0.08754546524881339,Climate/transmission,0.2800942479020391,5
Hungary,HUN,Neither,Excess-only,Neither -> Excess-only,-0.5296227240016266,-0.2679847305500349,0.03982171204996865,-0.12963605906819797,0.7566262662498313,-0.14102623297987382,,0.29986831781913137,Immunisation/UHC,0.7566262662498313,3
Indonesia,IDN,Excess-only,Excess-only,Excess-only -> Excess-only,-1.6696140078584756,-0.3901650331442768,-0.3551726245733259,-1.3264509356192349,-1.1456356367596592,0.1316327298864053,-0.20399820653596223,-0.5878112742058739,HIV/TB,0.1316327298864053,1
Iraq,IRQ,Double-high,Excess-only,Double-high -> Excess-only,0.9452529814287159,0.7540779619832327,0.19688786880611509,0.2636363036478102,0.6746131000300672,-0.01353843032507096,,,Household energy/HAP,0.9452529814287159,5
Jordan,JOR,Excess-only,Excess-only,Excess-only -> Excess-only,1.9789532067730469,1.5211949501498285,-0.06394495443197035,1.35455033069786,0.9323219807422853,-0.20163285717436003,,1.0420963830599115,Household energy/HAP,1.9789532067730469,5
Latvia,LVA,Neither,Excess-only,Neither -> Excess-only,-3.8749010819272947,-0.7704822227122138,-0.18151679308090019,-1.1533720267128937,-0.5672464580313887,-0.9638578681541918,,-0.15623176919623466,No positive contextual lag,0.0,0
Lebanon,LBN,Double-high,Excess-only,Double-high -> Excess-only,2.034879456170586,0.7759718981467667,0.2490474837133739,0.9076123845684926,2.016148183237434,-0.07319745149937729,,3.728106006098014,Health resources,3.728106006098014,6
Lithuania,LTU,Neither,Excess-only,Neither -> Excess-only,-2.0263604587254185,-1.216615220661412,-0.44198576865304784,-1.7495903544689486,-0.5653048773490936,-0.656054430510791,,0.8768088488444079,Health resources,0.8768088488444079,1
Malaysia,MYS,Excess-only,Excess-only,Excess-only -> Excess-only,0.8054064085197357,-0.0405239157454606,0.23424025917488045,0.5375396212234279,-0.1099293587103474,0.38314925043764614,,-0.014246607773875875,Household energy/HAP,0.8054064085197357,4
Montenegro,MNE,Neither,Excess-only,Neither -> Excess-only,0.7764728034507706,-0.027002027087201924,0.34743930877820306,,1.005313611807141,0.2991565137258312,,0.32116094459162914,Immunisation/UHC,1.005313611807141,5
Northern Mariana Islands,MNP,Excess-only,Excess-only,Excess-only -> Excess-only,0.2682109616029398,0.06775327344452431,-0.107139418816387,-2.365970730570764,,-1.462337605844834,,,Household energy/HAP,0.2682109616029398,2
Oman,OMN,Excess-only,Excess-only,Excess-only -> Excess-only,1.6627045817027302,0.04172290020297598,0.03809094981567479,1.4218321656253796,0.3447206896498211,-0.026645675900504207,,1.1269297892472223,Household energy/HAP,1.6627045817027302,6
Palau,PLW,Excess-only,Excess-only,Excess-only -> Excess-only,-1.5333237635818133,0.08133213827356633,-0.08975062799659939,-0.9294975181724424,-0.0985048316791079,2.2855230005567555,,-0.05066860490863312,HIV/TB,2.2855230005567555,2
Poland,POL,Neither,Excess-only,Neither -> Excess-only,-1.3012907660316126,-0.8664942543517606,-0.3961744838693494,0.8000596702419506,-0.32081775542621177,0.09673491637667408,,-0.46929236615038417,WASH,0.8000596702419506,2
Puerto Rico,PRI,Neither,Excess-only,Neither -> Excess-only,-0.1440893277898817,0.14851225231990278,0.08644591348109132,-1.6447913942527979,,-0.29605178761823925,,,Ambient PM2.5,0.14851225231990278,2
Qatar,QAT,Excess-only,Excess-only,Excess-only -> Excess-only,-0.9144970549624245,0.4703568882474105,0.0314835271732034,-0.0395909235861876,-0.9384420997917069,-0.2851251259031005,,-0.7065558397024299,Ambient PM2.5,0.4703568882474105,2
Romania,ROU,Neither,Excess-only,Neither -> Excess-only,-0.4645841641892382,-0.10683302700037231,0.15363303552508878,1.6007831029795632,0.5344682987016813,0.27853743888395427,,0.4720146706370972,WASH,1.6007831029795632,5
Saint Kitts and Nevis,KNA,Neither,Excess-only,Neither -> Excess-only,0.10430413500553559,0.3160582618582849,0.3161158383552136,,0.8902003578190998,0.40213219952395013,,1.2139660642950285,Health resources,1.2139660642950285,6
Saudi Arabia,SAU,Excess-only,Excess-only,Excess-only -> Excess-only,1.0128489326964973,0.8545304441437356,0.0883933154650966,0.8285179145554933,-0.37499517357958095,0.1378138027064637,,-0.04760688401815749,Household energy/HAP,1.0128489326964973,5
Singapore,SGP,Neither,Excess-only,Neither -> Excess-only,-0.9144970549624245,-0.1554800140643605,-0.07897150083107118,0.0074211980486913465,-0.5266314312446925,-0.08806064658790388,,-1.5441386574098408,WASH,0.0074211980486913465,1
Slovakia,SVK,Neither,Excess-only,Neither -> Excess-only,-1.557097778323905,-0.2836310060679942,0.1646010326200984,-0.7451538395942858,-0.050865575027164184,-0.44444806026925143,,0.2253715292292056,Health resources,0.2253715292292056,2
Slovenia,SVN,Neither,Excess-only,Neither -> Excess-only,-0.12084524673625596,-0.3349112357604322,0.1808141312711652,0.014490633461971048,-0.6657497640226492,-0.4021748980157915,,-0.5539595113595925,Climate/transmission,0.1808141312711652,2
Sri Lanka,LKA,Excess-only,Excess-only,Excess-only -> Excess-only,2.6833166963729047,-0.2675545308519315,0.2862121964146003,1.766482125114277,0.6000131444684026,0.5340541584682434,0.4625623625455728,0.6465586229999858,Household energy/HAP,2.6833166963729047,7
Taiwan,TWN,Excess-only,Excess-only,Excess-only -> Excess-only,1.4436329963762335,-0.3782210688995521,-0.19131848267374774,,,,,,Household energy/HAP,1.4436329963762335,1
Tunisia,TUN,Excess-only,Excess-only,Excess-only -> Excess-only,0.637126161858267,0.3466562603295693,-0.14619444020178451,-0.5037922842341396,-0.6575959166564974,0.007287988955731517,,0.4552635977476673,Household energy/HAP,0.637126161858267,4
Turkmenistan,TKM,Excess-only,Excess-only,Excess-only -> Excess-only,-0.594658850971236,0.8956567007542908,-0.2103697270314322,-0.44363951076062247,-0.27131383052730706,-0.45747364688415026,,0.5795860346863551,Ambient PM2.5,0.8956567007542908,2
Türkiye,TUR,Double-high,Excess-only,Double-high -> Excess-only,0.5592446714818535,0.6319567605674313,0.3676598072873405,1.0087544401257353,-0.6912639034954555,0.1885345446619165,,0.7363201379123607,WASH,1.0087544401257353,6
